"","COWcode","year","CW_Onset","Fearon and Latin (2003)","Collier and Hoeffler (2004)","Hegre and Sambanis (2006)","Random Forest","Full Logistic Regression","Combined FL + CH","Insurgency","Statistically Significant"
"1",402,2001,0,0.0082480042614777,0.00320651719482579,0.00490385104295953,0.062,2.22044604925031e-16,0.00251486433335238,0.00474820099846048,0.00238127412450362
"2",402,2002,0,0.00828968193350232,0.00312533572924962,0.00492993095124003,0.058,2.22044604925031e-16,0.00246786155718912,0.00467991693078537,0.00232372847723254
"3",402,2003,0,0.0083664206480596,0.00313580264805099,0.00501973263305979,0.059,2.22044604925031e-16,0.00248802424249326,0.00472685239714326,0.00234265573324729
"4",402,2004,0,0.00833250565508678,0.00322132783511115,0.00497190485455112,0.065,2.22044604925031e-16,0.00254382674537559,0.00478952909995998,0.00240016358473554
"5",402,2005,0,0.00830508144117896,0.00307362873709305,0.00497927673141108,0.059,2.22044604925031e-16,0.00243099886495543,0.00466808877737709,0.00230166118693444
"6",402,2006,0,0.00841747008710324,0.00325526844315772,0.00505890506306522,0.067,2.22044604925031e-16,0.00258417561578988,0.00484027605152293,0.00244120519512326
"7",402,2007,0,0.00822226067472953,0.00295710663882297,0.00492088170530383,0.058,2.22044604925031e-16,0.00232878765446714,0.00450465100027474,0.00220981296697063
"8",402,2008,0,0.00827731727315176,0.00318548767884874,0.00492912344256956,0.061,2.22044604925031e-16,0.00250189603542552,0.00473195147674356,0.0023609903766242
"9",402,2009,0,0.00829755116603243,0.00313547633764007,0.00496044263720595,0.06,2.22044604925031e-16,0.00246789493342455,0.0046895330910265,0.00232913705030102
"10",402,2010,0,0.00830922980260608,0.00312040715134671,0.00495478468156369,0.06,2.22044604925031e-16,0.0024583931084655,0.0046680816941652,0.00230876745819551
"11",402,2011,0,0.00831623707613493,0.00311818728147473,0.00499394568088818,0.059,2.22044604925031e-16,0.00246016519607356,0.00470000585654456,0.00233150818194589
"12",402,2012,0,0.00836506747722619,0.00310029517102993,0.00500478810089481,0.059,2.22044604925031e-16,0.00245646850086311,0.00467702199293406,0.00230840155263546
"13",402,2013,0,0.00835420354848679,0.0031869467610314,0.00502168477795633,0.058,2.22044604925031e-16,0.00250923632384094,0.00474039691143365,0.00237487217978431
"14",402,2014,0,0.00824116149241291,0.00305294221987595,0.0048863216946349,0.058,2.22044604925031e-16,0.00239486525871516,0.00458989158129045,0.00226448717731528
"15",404,2001,0,0.00831467791736504,0.0032258998513641,0.00498021565052537,0.067,2.22044604925031e-16,0.00254343468550226,0.00478737882893215,0.00240168700030056
"16",404,2002,0,0.00838025860347218,0.00307436902626258,0.00506741008774455,0.059,2.22044604925031e-16,0.00243266021447921,0.00465138038877826,0.00229606106945955
"17",404,2003,0,0.00830009239878003,0.00316974345249744,0.00495647345906916,0.064,2.22044604925031e-16,0.00250238660322105,0.00473109781393274,0.00236582744508005
"18",404,2004,0,0.00824711338792187,0.00317310387414879,0.00489470952807071,0.071,2.22044604925031e-16,0.00250692615637729,0.00472456499126626,0.00236276518669323
"19",404,2005,0,0.00815883616466029,0.00310729861578424,0.00481510639127352,0.067,2.22044604925031e-16,0.0024424097417066,0.00464884698628308,0.00230603582195461
"20",404,2006,0,0.00836655796576079,0.00316777103808517,0.00502131692166658,0.06,2.22044604925031e-16,0.00249950736923006,0.00474093668644838,0.00235356868464552
"21",404,2007,0,0.00836651713558615,0.00319340494406049,0.0050238641606744,0.058,2.22044604925031e-16,0.00252504224122216,0.00476336240369144,0.00239165233231364
"22",404,2008,0,0.00831761159159267,0.00318770025864033,0.00497211834472836,0.059,2.22044604925031e-16,0.00251243625847501,0.00474389995878821,0.0023706791606801
"23",404,2009,0,0.00837678347971206,0.0032056063189295,0.00502052137799321,0.06,2.22044604925031e-16,0.00253330848273971,0.0047823295830689,0.00238394630300235
"24",404,2010,0,0.00831436690093164,0.00320534292712214,0.00497257638367829,0.065,2.22044604925031e-16,0.00253264418283214,0.00477379864662105,0.00239593257236111
"25",404,2011,0,0.008401896912046,0.00316051244328378,0.00506212120423972,0.059,2.22044604925031e-16,0.00250209314465435,0.00473540385918124,0.00235778600249102
